server_id,user_id
tts-826220,NYS:LPX
tts-826218,NYS:LOW
tts-826198,NYS:LNC
tts-826167,NYS:LH
tts-826145,NYS:LEN
tts-826122,NYS:L
tts-825992,NYS:KO
tts-825957,NYS:KIM
tts-825890,NYS:JWN
tts-825840,NYS:JPM
tts-825809,NYS:JNS
tts-825807,NYS:JNJ
tts-825736,NYS:JEF
tts-825697,NYS:ITW
tts-825696,NYS:ITT
tts-825613,NYS:IRM
tts-825590,NYS:IR
tts-825561,NYS:IPG
tts-825324,NYS:IFF
tts-825299,NYS:IEX
tts-825194,NYS:IBM
tts-825120,NYS:HUM
tts-825092,NYS:HSY
tts-825040,NYS:HOT
tts-825026,NYS:HMA
tts-825004,NYS:HIG
tts-824874,NYS:HD
tts-824829,NYS:HAL
tts-824806,NYS:GS
tts-824791,NYS:GPC
tts-824781,NYS:GME
tts-824779,NYS:GLW
tts-824770,NYS:GGP
tts-824756,NYS:GE
tts-824752,NYS:GD
tts-824745,NYS:GAS
tts-824738,NYS:G
tts-824730,NYS:FTI
tts-824726,NYS:FRX
tts-824723,NYS:FRT
tts-824679,NYS:FL
tts-824677,NYS:FIX
tts-824662,NYS:FE
tts-824661,NYS:FDS
tts-824654,NYS:FCX
tts-824612,NYS:EQT
tts-824602,NYS:EP
tts-824588,NYS:EMR
tts-824577,NYS:EL
tts-824574,NYS:EIX
tts-824557,NYS:ED
tts-824544,NYS:DVA
tts-824535,NYS:DTE
tts-824528,NYS:DRI
tts-824512,NYS:DOW
tts-824511,NYS:DOV
tts-824489,NYS:DHI
tts-824488,NYS:DGX
tts-824486,NYS:DG
tts-824485,NYS:DFS
tts-824481,NYS:DE
tts-824480,NYS:DDS
tts-824472,NYS:DD
tts-824463,NYS:DAL
tts-824461,NYS:D
tts-824437,NYS:CVH
tts-824409,NYS:CRM
tts-824408,NYS:CRL
tts-824406,NYS:CRH
tts-824385,NYS:COP
tts-824383,NYS:COL
tts-824358,NYS:CMS
tts-824348,NYS:CMA
tts-824346,NYS:CLX
tts-824309,NYS:CI
tts-824299,NYS:CHD
tts-824286,NYS:CF
tts-824264,NYS:CCL
tts-824249,NYS:CBE
tts-824244,NYS:CB
tts-824243,NYS:CAT
tts-824241,NYS:CAM
tts-824240,NYS:CAH
tts-824238,NYS:CAG
tts-824210,NYS:BSX
tts-824192,NYS:BRK.B
tts-824176,NYS:BNY
tts-824166,NYS:BMS
tts-824158,NYS:BLK
tts-824133,NYS:BG
tts-824128,NYS:BF.B
tts-824123,NYS:BEN
tts-824119,NYS:BDX
tts-824109,NYS:BC
tts-824108,NYS:BBY
tts-824095,NYS:BAX
tts-824090,NYS:BAC
tts-824084,NYS:AYI
tts-824081,NYS:AXP
tts-824074,NYS:AVY
tts-824071,NYS:AVP
tts-824068,NYS:AVB
tts-824059,NYS:ATI
tts-824042,NYS:ARG
tts-824038,NYS:APH
tts-824036,NYS:AOS
tts-824026,NYS:ANF
tts-824022,NYS:AN
tts-824015,NYS:AMG
tts-824014,NYS:AME
tts-824013,NYS:PLD
tts-824005,NYS:ALL
tts-824002,NYS:ALB
tts-823999,NYS:AKS
tts-823989,NYS:AIV
tts-823980,NYS:AGN
tts-823969,NYS:AET
tts-823967,NYS:AES
tts-823958,NYS:ADM
tts-823937,NYS:ABT
tts-823924,NYS:AAP
tts-823911,NYS:A
tts-822019,NYS:YUM
tts-821964,NYS:WST
tts-821924,NYS:WHR
tts-821909,NYS:WFC
tts-821879,NYS:WAT
tts-821874,NYS:VZ
tts-821867,NYS:VTR
tts-821842,NYS:VMC
tts-821840,NYS:VLO
tts-821822,NYS:VFC
tts-821785,NYS:URI
tts-821755,NYS:UHS
tts-821727,NYS:TYL
tts-821678,NYS:TSS
tts-821674,NYS:TSN
tts-821591,NYS:TIN
tts-821587,NYS:TIF
tts-821580,NYS:TGT
tts-821556,NYS:TE
tts-821527,NYS:T
tts-821521,NYS:SYK
tts-821512,NYS:SWN
tts-821508,NYS:SVU
tts-821499,NYS:STT
tts-821495,NYS:STI
tts-821491,NYS:STE
tts-821436,NYS:SO
tts-821428,NYS:SNA
tts-821417,NYS:SLG
tts-821396,NYS:SJM
tts-821387,NYS:SHW
tts-821348,NYS:SE
tts-821334,NYS:SCG
tts-821288,NYS:RSG
tts-821263,NYS:ROL
tts-821260,NYS:ROK
tts-821247,NYS:RMD
tts-821244,NYS:RJF
tts-821214,NYS:RF
tts-821160,NYS:PX
tts-821155,NYS:PVH
tts-821124,NYS:PSA
tts-821103,NYS:PPL
tts-821066,NYS:PNC
tts-821053,NYS:PLL
tts-820986,NYS:PFE
tts-820977,NYS:PEG
tts-820952,NYS:PCG
tts-820938,NYS:PBI
tts-820904,NYS:OKE
tts-820901,NYS:OI
tts-820887,NYS:ODP
tts-820877,NYS:NYT
tts-820835,NYS:NUE
tts-820762,NYS:NKE
tts-820743,NYS:NFX
tts-820732,NYS:NEM
tts-820677,NYS:MUR
tts-820666,NYS:MTW
tts-820659,NYS:MTG
tts-820608,NYS:MMC
tts-820603,NYS:MLM
tts-820516,NYS:MCO
tts-820508,NYS:MCD
tts-820502,NYS:MBI
tts-820498,NYS:MAS
tts-820483,NYS:LXK
tts-820480,NYS:LUV
tts-820454,NYS:LMT
tts-820451,NYS:LM
tts-820450,NYS:LLY
tts-820447,NYS:LII
tts-820425,NYS:LEG
tts-820366,NYS:KSS
tts-820351,NYS:KR
tts-820338,NYS:KMX
tts-820327,NAS:KMB
tts-820318,NYS:KEY
tts-820305,NYS:KBH
tts-820303,NYS:K
tts-820285,NYS:JNY
tts-820268,NYS:JCI
tts-820265,NYS:JBL
tts-820252,NYS:IT
tts-820237,NYS:IP
tts-820200,NYS:IGT
tts-820141,NYS:HSP
tts-820130,NYS:HRL
tts-820124,NYS:HRB
tts-820116,NYS:HPQ
tts-820111,NYS:HP
tts-820105,NYS:HNZ
tts-820023,NYS:HAR
tts-820016,NYS:GWW
tts-819966,NYS:GR
tts-819910,NYS:GIS
tts-819733,NYS:FMC
tts-819731,NYS:FLS
tts-819729,NYS:FLR
tts-819694,NYS:FDX
tts-819689,NYS:FDO
tts-819654,NYS:F
tts-819638,NYS:EW
tts-819631,NYS:ETR
tts-819627,NYS:ETN
tts-819621,NYS:ESS
tts-819604,NYS:EQR
tts-819587,NYS:EOG
tts-819562,NYS:EME
tts-819510,NYS:EFX
tts-819459,NYS:ECL
tts-819455,NYS:EC
tts-819384,NYS:DUK
tts-819303,NYS:DNR
tts-819299,NYS:DNB
tts-819263,NYS:DHR
tts-819002,NYS:CVX
tts-819001,NYS:CVS
tts-818989,NYS:CVC
tts-818925,NYS:CPT
tts-818921,NAS:POOL
tts-818903,NAS:CPB
tts-818890,NYS:COF
tts-818881,NYS:CNP
tts-818807,NYS:CLF
tts-818752,NYS:CHK
tts-818730,NYS:CFN
tts-818709,NYS:CE
tts-818684,NYS:CCI
tts-818629,NYS:C
tts-818612,NYS:BXP
tts-818608,NYS:BWA
tts-818595,NYS:BUD
tts-818567,NAS:PENN
tts-818560,NYS:BRO
tts-818544,NYS:BR
tts-818515,NYS:BMY
tts-818492,NYS:BK
tts-818441,NYS:BCR
tts-818400,NYS:BA
tts-818395,NYS:AZO
tts-818316,NYS:ASH
tts-818299,NYS:ARE
tts-818286,NYS:APD
tts-818284,NYS:APC
tts-818281,NYS:APA
tts-818258,NYS:AMT
tts-818232,NYS:ALK
tts-818215,NYS:AJG
tts-818201,NYS:AIG
tts-818171,NYS:AFL
tts-818154,NYS:AEE
tts-818138,NYS:ACN
tts-80402151,NAS:QRVO
tts-78355419,NYS:KEYS
tts-76939141,NAS:ODP
tts-76828925,NYS:CFG
tts-74938584,NYS:CTLT
tts-74936266,NYS:SYF
tts-73295693,NYS:ANET
tts-72407107,NYS:DECK
tts-72343156,NYS:ARES
tts-72017885,NAS:WB
tts-71838504,NYS:PAYC
tts-70515122,NYS:KATE
tts-67693128,NYS:HLT
tts-67360106,NYS:ALLE
tts-67312163,NYS:GHC
tts-6653657,NYS:TWC
tts-6642815,NYS:TRV
tts-65702111,NYS:VEEV
tts-65187270,NYS:LDOS
tts-6470440,NYS:TEG
tts-63081317,NYS:FI
tts-61741993,NYS:DOC
tts-60662927,NYS:MNK
tts-60431697,NYS:COTY
tts-60184825,NYS:SUNE
tts-55574302,NYS:ZTS
tts-54471318,NYS:ABBV
tts-54148883,NAS:LSI
tts-54104577,NAS:GT
tts-5404352,NYS:UA
tts-5366668,NAS:IPGP
tts-51173763,NYS:ADT
tts-50624445,NAS:KRFTV
tts-4979680,NYS:WU
tts-4837238,NYS:HBI
tts-47882778,NYS:HSH
tts-4759245,NYS:BIG
tts-4745058,NYS:HOG
tts-45185392,NAS:LKQ
tts-4340548,NYS:MA
tts-4256505,NYS:HES
tts-42406141,NYS:PSX
tts-402214050,NYS:AV
tts-4011480,NYS:TDG
tts-389652290,NAS:APC
tts-388896846,NAS:SGP
tts-38722992,NAS:CZR
tts-386514060,NYS:GDT
tts-38627679,NYS:EPAM
tts-3855383,NYS:FIS
tts-385277534,NYS:MRSH
tts-3817871,NYS:CMG
tts-376025814,NYS:Q
tts-375502573,NAS:SOLS
tts-374002503,NAS:SOLSV
tts-372289887,NAS:POM
tts-36942699,NAS:WEN
tts-3682398,NYS:LYV
tts-367634050,NYS:BBT
tts-36546743,NAS:SLM
tts-364559782,NAS:PSKY
tts-363799474,NYS:PCL~1
tts-359531532,NAS:ABI
tts-355975082,NAS:KG
tts-3536577,NYS:ICE
tts-3492139,NYS:NBR
tts-343786342,NYS:TE~1
tts-33903249,NYS:XYL
tts-338656392,NYS:XYZ
tts-3385019,NYS:AMP
tts-329721530,NAS:SUNE
tts-325293698,NYS:INFO
tts-324551988,NAS:EXE
tts-324308742,NYS:AMTM
tts-316163098,NYS:SW
tts-315465495,NYS:LB
tts-307473587,NYS:GEV
tts-307396029,NYS:SOLV
tts-306925844,NYS:CPAY
tts-30448931,NYS:MPC
tts-30448896,NYS:HFC
tts-302187152,NAS:STI
tts-301905847,NYS:DAY
tts-298814037,NYS:COR
tts-291258264,NYS:VLTO
tts-291149475,NAS:COO
tts-289567307,NYS:TKO
tts-289505740,NYS:MI~1
tts-28562574,NYS:HII
tts-28526107,NYS:APO
tts-284468580,NYS:EG
tts-282720976,NAS:GEN
tts-28208589,NYS:HCA
tts-279859920,NYS:RVTY
tts-278925995,NYS:KVUE
tts-27680104,NYS:KMI
tts-26846582,NYS:MSI
tts-268463162,NAS:EVRG
tts-26844907,NYS:MMI
tts-26549366,NYS:TRGP
tts-26033121,NYS:GM
